,filename,basedOn,testEdgeFraction,sampleId,negativeEdgeSampler,model,dim,trainNegativeEdgeSampler,withDegree,score,metric,data
98,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~SGTLaplacianExp_dim~128.csv,emb,0.25,3,degreeBiased,SGTLaplacianExp,128,,,0.5043929492070689,aucroc,Princeton12
99,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~SGTLaplacianExp_dim~128.csv,emb,0.25,4,degreeBiased,SGTLaplacianExp,128,,,0.5048980125080669,aucroc,Princeton12
100,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~SGTLaplacianExp_dim~128.csv,emb,0.25,0,heart,SGTLaplacianExp,128,,,0.3225289640344594,aucroc,Princeton12
101,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~SGTLaplacianExp_dim~128.csv,emb,0.25,1,heart,SGTLaplacianExp,128,,,0.3485940901668031,aucroc,Princeton12
102,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~SGTLaplacianExp_dim~128.csv,emb,0.25,2,heart,SGTLaplacianExp,128,,,0.3310944400708714,aucroc,Princeton12
103,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~SGTLaplacianExp_dim~128.csv,emb,0.25,3,heart,SGTLaplacianExp,128,,,0.4981747817721272,aucroc,Princeton12
104,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~SGTLaplacianExp_dim~128.csv,emb,0.25,4,heart,SGTLaplacianExp,128,,,0.5029874555397459,aucroc,Princeton12
105,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~SGTLaplacianNeumann_dim~128.csv,emb,0.25,0,uniform,SGTLaplacianNeumann,128,,,0.5182419658398807,aucroc,Princeton12
106,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~SGTLaplacianNeumann_dim~128.csv,emb,0.25,1,uniform,SGTLaplacianNeumann,128,,,0.5225540355454117,aucroc,Princeton12
107,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~SGTLaplacianNeumann_dim~128.csv,emb,0.25,2,uniform,SGTLaplacianNeumann,128,,,0.5220469466068685,aucroc,Princeton12
